65537	907132	Москва и МО	ЖК «Железнодорожная, 39»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/65537
81924	154621	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к1	https://realty.yandex.ru/newbuilding/81924
81924	154617	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к2	https://realty.yandex.ru/newbuilding/81924
81924	154622	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к3	https://realty.yandex.ru/newbuilding/81924
81924	154618	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к4	https://realty.yandex.ru/newbuilding/81924
81924	154619	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к5	https://realty.yandex.ru/newbuilding/81924
81924	154625	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к6	https://realty.yandex.ru/newbuilding/81924
81924	154626	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к7	https://realty.yandex.ru/newbuilding/81924
81924	154623	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к8	https://realty.yandex.ru/newbuilding/81924
81924	154620	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к9	https://realty.yandex.ru/newbuilding/81924
81924	154624	Москва и МО	микрорайон «Ильинская Слобода»	1 очередь	IV кв. 2014	Россия, Московская область, Раменский район, рабочий посёлок Ильинский, улица Наты Бабушкиной, 36к10	https://realty.yandex.ru/newbuilding/81924
163862	164144	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164145	Москва и МО	"ЖК «Венеция»
"	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164146	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164147	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164148	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164149	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164151	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164150	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
163862	164152	Москва и МО	ЖК «Венеция»	1 очередь	неизвестен	адрес не задан	https://realty.yandex.ru/newbuilding/163862
1867784	1867864	Москва и МО	ЖК «в пос. Большевик»	1 очередь	II кв. 2019	адрес не задан	https://realty.yandex.ru/newbuilding/1867784
1867784	1867970	Москва и МО	ЖК «в пос. Большевик»	1 очередь	II кв. 2019	адрес не задан	https://realty.yandex.ru/newbuilding/1867784
1867784	1867968	Москва и МО	ЖК «в пос. Большевик»	2 очередь	III кв. 2020	адрес не задан	https://realty.yandex.ru/newbuilding/1867784
1867784	1867929	Москва и МО	ЖК «в пос. Большевик»	3 очередь	II кв. 2021	адрес не задан	https://realty.yandex.ru/newbuilding/1867784
393246	395433	Москва и МО	жилой комплекс «Пресненский вал 21»	1 очередь	I кв. 2019	Россия, Москва, улица Пресненский Вал, 21	https://realty.yandex.ru/newbuilding/393246
81952	81974	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, бульвар Космонавтов, 1	https://realty.yandex.ru/newbuilding/81952
81952	154655	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, бульвар Космонавтов, 6	https://realty.yandex.ru/newbuilding/81952
81952	154656	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, бульвар Космонавтов, 7	https://realty.yandex.ru/newbuilding/81952
81952	154657	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 4	https://realty.yandex.ru/newbuilding/81952
81952	154658	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, бульвар Космонавтов, 4	https://realty.yandex.ru/newbuilding/81952
81952	154662	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, бульвар Космонавтов, 5	https://realty.yandex.ru/newbuilding/81952
81952	154660	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 3	https://realty.yandex.ru/newbuilding/81952
81952	154661	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 1	https://realty.yandex.ru/newbuilding/81952
81952	154659	Москва и МО	микрорайон «Изумрудные холмы»	1 очередь	II кв. 2012	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 2	https://realty.yandex.ru/newbuilding/81952
81952	154638	Москва и МО	микрорайон «Изумрудные холмы»	2 очередь	IV кв. 2015	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 12	https://realty.yandex.ru/newbuilding/81952
81952	154639	Москва и МО	микрорайон «Изумрудные холмы»	2 очередь	IV кв. 2015	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 10	https://realty.yandex.ru/newbuilding/81952
81952	154654	Москва и МО	микрорайон «Изумрудные холмы»	3 очередь	I кв. 2016	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 6	https://realty.yandex.ru/newbuilding/81952
81952	154653	Москва и МО	микрорайон «Изумрудные холмы»	3 очередь	I кв. 2016	Россия, Московская область, Красногорск, улица Игоря Мерлушкина, 8	https://realty.yandex.ru/newbuilding/81952
81952	391638	Москва и МО	микрорайон «Изумрудные холмы»	4 очередь	IV кв. 2016	Россия, Московская область, Красногорск, бульвар Космонавтов, 13	https://realty.yandex.ru/newbuilding/81952
81952	190669	Москва и МО	микрорайон «Изумрудные холмы»	5 очередь	II кв. 2017	Россия, Московская область, Красногорск, бульвар Космонавтов, 11	https://realty.yandex.ru/newbuilding/81952
81952	270740	Москва и МО	микрорайон «Изумрудные холмы»	6 очередь	IV кв. 2017	Россия, Московская область, Красногорск, бульвар Космонавтов, 8	https://realty.yandex.ru/newbuilding/81952
81952	704302	Москва и МО	микрорайон «Изумрудные холмы»	7 очередь	II кв. 2019	Россия, Московская область, Красногорск, жилой комплекс Изумрудные Холмы, к17	https://realty.yandex.ru/newbuilding/81952
81952	1765707	Москва и МО	микрорайон «Изумрудные холмы»	8 очередь	II кв. 2021	Россия, Московская область, Красногорск, жилой комплекс Изумрудные Холмы, к17	https://realty.yandex.ru/newbuilding/81952
81952	1765708	Москва и МО	микрорайон «Изумрудные холмы»	8 очередь	II кв. 2021	адрес не задан	https://realty.yandex.ru/newbuilding/81952
81952	1765709	Москва и МО	микрорайон «Изумрудные холмы»	8 очередь	II кв. 2021	адрес не задан	https://realty.yandex.ru/newbuilding/81952
65570	893943	Москва и МО	ЖК на ул. Чехова	1 очередь	неизвестен	Россия, Московская область, Богородский городской округ, Старая Купавна, улица Чехова, 9	https://realty.yandex.ru/newbuilding/65570
163889	163904	Москва и МО	клубный дом на Котельнической набережной	1 очередь	II кв. 2017	Россия, Москва, Котельническая набережная, 31	https://realty.yandex.ru/newbuilding/163889
